ligne_source,credit_id,client_id,agence_id,type_credit,date_octroi,montant_initial,taux_annuel,duree_mois,mensualite_theorique,score_risque_octroi,statut_credit,date_fin_prevue
1,CR000001,C004387,A012,Prêt immobilier,2022-12-14,180593.38,4.074,180,1342.51,80,En cours,2037-12-14
2,CR000002,C004984,A014,Prêt immobilier,2024-06-15,243987.46,1.236,300,945.79,80,En cours,2049-06-15
3,CR000003,C004034,A014,Prêt immobilier,2024-11-16,140525.79,3.697,180,1018.27,47,En cours,2039-11-16
4,CR000004,C000491,A009,Prêt immobilier,2023-10-05,179246.33,4.381,300,984.27,89,En cours,2048-10-05
5,CR000005,C003338,A012,Prêt personnel,2022-10-03,12629.14,9.496,24,579.83,56,Terminé,2024-10-03
6,CR000006,C004531,A018,Prêt personnel,2021-03-02,23461.2,4.132,24,1020.18,57,Terminé,2023-03-02
7,CR000007,C003483,A011,Prêt personnel,2024-09-22,12447.11,9.106,48,310.38,71,En cours,2028-09-22
8,CR000008,C005801,A021,Prêt personnel,2024-09-19,10820.45,8.202,48,265.18,95,en cours,2028-09-19
9,CR000009,C005355,A018,Prêt personnel,2021-09-19,19494.49,4.988,24,855.14,88,Terminé,2023-09-19
10,CR000010,C004432,A012,Prêt automobile,2022-10-02,28333.98,3.529,48,633.8,83,En cours,2026-10-02
11,CR000011,C004057,A015,Prêt immobilier,2026-01-05,67243.38,2.728,180,455.61,54,En cours,2041-01-05
12,CR000012,C000227,A019,Prêt immobilier,2021-04-20,332433.64,2.417,240,1748.17,39,En cours,2041-04-20
13,CR000013,C005656,A016,Prêt automobile,2022-06-02,35284.67,4.483,72,559.84,21,En cours,2028-06-02
14,CR000014,C005781,A018,Prêt personnel,2021-03-02,15061.58,7.622,24,678.6,39,Terminé,2023-03-02
15,CR000015,C000976,A023,Prêt automobile,2025-01-31,30527.72,4.672,48,698.5,77,En cours,2029-01-31
16,CR000016,C002293,A015,Prêt automobile,2021-12-14,11131.58,4.497,48,253.82,58,Terminé,2025-12-14
17,CR000017,C004740,A015,Prêt personnel,2025-06-14,21157.1,9.79,60,447.34,56,En cours,2030-06-14
18,CR000018,C003653,A017,Prêt automobile,2021-07-07,24324.37,4.595,48,555.72,38,Terminé,2025-07-07
19,CR000019,C000457,A024,Prêt automobile,2022-07-23,30949.06,4.799,60,581.2,78,en cours,2027-07-23
20,CR000020,C005445,A006,Prêt immobilier,2021-11-05,171530.61,2.514,300,770.68,44,En cours,2046-11-05
21,CR000021,C005389,A023,Prêt immobilier,2023-11-20,70027.9,3.065,180,485.78,82,En cours,2038-11-20
22,CR000022,C003601,A004,Prêt immobilier,2024-05-14,194352.21,1.665,180,1220.94,55,En cours,2039-05-14
23,CR000023,C004249,A017,Prêt personnel,2022-09-27,4120.33,10.862,48,106.22,87,En cours,2026-09-27
24,CR000024,C004783,A002,Prêt personnel,2025-01-30,13502.66,9.816,12,1185.94,68,Terminé,2026-01-30
25,CR000025,C004504,A004,Prêt automobile,2021-11-20,22146.71,6.707,48,527.33,49,Terminé,2025-11-20
26,CR000026,C002151,A013,Prêt automobile,2025-02-16,29292.23,5.108,48,676.02,74,En cours,2029-02-16
27,CR000027,C002566,A009,PRÊT IMMOBILIER,2024-04-25,121797.1,3.3,240,693.89,50,En cours,2044-04-25
28,CR000028,C001467,A003,Prêt immobilier,2022-04-11,294271.84,3.977,240,1779.62,46,En cours,2042-04-11
29,CR000029,C003096,A010,Prêt automobile,2025-12-26,31355.36,6.962,60,620.3,39,En cours,2030-12-26
30,CR000030,C001907,A018,Prêt automobile,2022-03-16,34548.22,3.921,36,1018.79,39,Terminé,2025-03-16
31,CR000031,C001611,A008,Prêt personnel,2022-09-07,19588.06,6.862,36,603.59,67,Terminé,2025-09-07
32,CR000032,C003065,A013,Prêt immobilier,2023-09-10,186699.78,1.557,240,905.85,43,En cours,2043-09-10
33,CR000033,C001630,A015,Prêt immobilier,2022-03-23,233387.46,3.603,240,1365.89,57,En cours,2042-03-23
34,CR000034,C000167,A020,Prêt immobilier,2025-06-09,106518.5,4.59,180,819.79,66,En cours,2040-06-09
35,CR000035,C003001,A016,Prêt automobile,2021-09-03,26115.64,6.379,48,617.88,71,Terminé,2025-09-03
36,CR000036,C003505,A010,Prêt personnel,2024-04-30,15652.72,10.852,36,511.35,28,En cours,2027-04-30
37,CR000037,C000468,A016,Prêt immobilier,2025-02-12,254787.5,-1.425,180,1573.04,60,En cours,2040-02-12
38,CR000038,C004416,A001,Prêt personnel,2023-02-11,7347.23,11.026,36,240.63,30,Terminé,2026-02-11
39,CR000039,C002535,A999,Prêt personnel,2025-06-16,10570.66,11.134,12,934.91,47,Terminé,2026-06-16
40,CR000040,C000057,A019,Prêt immobilier,2021-06-12,194367.59,1.969,180,1247.96,67,En cours,2036-06-12
41,CR000041,C004314,A017,Prêt personnel,2021-03-26,8093.02,4.149,36,239.48,51,Terminé,2024-03-26
42,CR000042,C002219,A020,Prêt immobilier,2026-03-18,210041.26,3.339,240,1200.89,51,En cours,2046-03-18
43,CR000043,C002505,A018,Prêt personnel,2026-03-27,11516.77,8.714,48,285.03,68,En cours,2030-03-27
44,CR000044,C000834,A005,Prêt automobile,2023-09-21,29349.46,7.464,36,912.47,34,En cours,2026-09-21
45,CR000045,C002057,A005,Prêt personnel,2021-03-30,13338.02,7.282,60,265.89,65,Terminé,2026-03-30
46,CR000046,C003320,A023,Prêt personnel,2024-03-19,12970.92,4.215,48,294.12,52,En cours,2028-03-19
47,CR000047,C001518,A008,Prêt personnel,2024-03-05,5801.26,6.649,48,137.97,40,En cours,2028-03-05
48,CR000048,C001271,A003,Prêt immobilier,2023-06-06,293362.88,3.654,240,1724.63,1,en cours,2043-06-06
49,CR000049,C001633,A007,Prêt immobilier,2023-08-25,160540.42,2.16,240,824.4,87,En cours,2043-08-25
50,CR000050,C003280,A006,Prêt personnel,2021-06-12,10863.19,6.957,48,259.92,77,Terminé,2025-06-12
51,CR000051,C005605,A002,Prêt personnel,2022-04-29,15740.86,11.466,24,737.06,34,Terminé,2024-04-29
52,CR000052,C000187,A006,Prêt personnel,2021-09-21,1500.0,8.292,12,130.69,69,Terminé,2022-09-21
53,CR000053,C002112,A007,Prêt immobilier,2025-11-22,179597.71,1.77,300,741.32,49,En cours,2050-11-22
54,CR000054,C001075,A015,Prêt personnel,2026-03-02,18537.46,7.866,60,374.69,91,En cours,2031-03-02
55,CR000055,C002808,A025,Prêt immobilier,2024-02-12,253517.98,4.456,180,1933.69,56,En cours,2039-02-12
56,CR000056,C002349,A014,Prêt personnel,2022-04-05,14860.6,6.5,12,1282.41,70,Terminé,2023-04-05
57,CR000057,C005174,A017,Prêt automobile,2021-04-06,15316.31,3.403,72,235.48,57,En cours,2027-04-06
58,CR000058,C001645,A010,Prêt personnel,2025-01-14,3272.23,11.299,60,71.63,43,En cours,2030-01-14
59,CR000059,C004780,A020,Prêt automobile,2024-10-05,13990.35,5.889,48,327.85,30,en cours,2028-10-05
60,CR000060,C004254,A003,Prêt personnel,2021-08-11,11929.22,3.706,60,218.11,90,En cours,2026-08-11
61,CR000061,C002247,A015,PRÊT IMMOBILIER,2023-10-19,250219.69,4.319,180,1891.15,30,En cours,2038-10-19
62,CR000062,C002794,A001,PRÊT AUTOMOBILE,2023-04-02,5926.86,4.908,72,95.2,96,En cours,2029-04-02
63,CR000063,C003702,A011,Prêt personnel,2022-06-25,13481.73,8.546,24,613.11,61,Terminé,2024-06-25
64,CR000064,C001127,A003,Prêt immobilier,2024-09-01,247465.55,3.063,240,1380.31,35,En cours,2044-09-01
65,CR000065,C001678,A009,Prêt immobilier,2022-02-18,99698.16,2.631,240,534.71,53,En cours,2042-02-18
66,CR000066,C004347,A010,Prêt immobilier,2025-07-17,160288.5,2.88,300,750.18,77,En cours,2050-07-17
67,CR000067,C002458,A024,Prêt automobile,2021-02-26,30936.53,7.275,48,744.77,51,Terminé,2025-02-26
68,CR000068,C004733,A007,Prêt automobile,2024-09-10,16625.69,5.87,36,504.81,87,En cours,2027-09-10
69,CR000069,C003050,A003,Prêt personnel,2023-12-14,5646.45,3.975,48,127.43,67,En cours,2027-12-14
70,CR000070,C002458,A024,Prêt immobilier,2021-05-25,152406.98,4.33,300,832.52,45,En cours,2046-05-25
71,CR000071,C004527,A005,Prêt automobile,2022-11-12,5000.0,4.925,72,80.35,34,En cours,2028-11-12
72,CR000072,C003358,A003,Prêt immobilier,2021-05-27,154653.61,4.206,180,1160.01,50,En cours,2036-05-27
73,CR000073,C000237,A005,Prêt personnel,2023-09-25,7199.33,10.48,36,233.93,29,En cours,2026-09-25
74,CR000074,C005486,A018,Prêt immobilier,2022-07-29,129808.8,4.333,240,809.55,78,En cours,2042-07-29
75,CR000075,C004568,A009,Prêt personnel,2025-02-16,9522.35,9.352,60,199.3,24,En cours,2030-02-16
76,CR000076,C004951,A999,Prêt personnel,2023-10-20,12360.45,7.121,12,1070.2,59,Terminé,2024-10-20
77,CR000077,C004550,A024,Prêt immobilier,2025-11-29,155642.61,4.37,240,973.81,60,En cours,2045-11-29
78,CR000078,C002337,A015,Prêt immobilier,2021-05-15,322921.98,2.276,180,2119.35,68,En cours,2036-05-15
79,CR000079,C000748,A008,Prêt personnel,2024-11-16,5372.92,11.049,60,116.95,85,En cours,2029-11-16
80,CR000080,C001898,A013,Prêt automobile,2025-05-10,11325.76,5.281,60,215.19,48,En cours,2030-05-10
81,CR000081,C005360,A021,Prêt personnel,2021-11-17,22342.22,4.902,24,979.2,74,Terminé,2023-11-17
82,CR000082,C001165,A002,Prêt personnel,2025-08-22,12241.17,3.501,60,222.69,76,En cours,2030-08-22
83,CR000083,C003778,A010,Prêt personnel,2022-08-26,18570.26,-5.785,48,434.3,51,En cours,2026-08-26
84,CR000084,C004417,A025,Prêt immobilier,2024-10-26,196404.2,3.489,180,1402.98,17,En cours,2039-10-26
85,CR000085,C005827,A009,Prêt personnel,2021-09-04,15146.47,9.712,36,486.69,39,Terminé,2024-09-04
86,CR000086,C001404,A017,Prêt immobilier,2022-11-22,278816.9,2.286,180,1831.23,75,En cours,2037-11-22
87,CR000087,C002877,A009,Prêt immobilier,2024-01-03,203899.45,1.878,180,1300.67,79,En cours,2039-01-03
