remboursement_id,credit_id,date_echeance,date_paiement,montant_attendu,montant_paye,jours_retard,statut_remboursement
R00000001,CR000001,2023-01-14,2023-01-14,1342.51,1342.51,0,Payé à temps
R00000002,CR000001,2023-02-14,2023-02-15,1342.51,1342.51,1,Payé en retard
R00000003,CR000001,2023-03-14,2023-03-12,1342.51,1342.51,0,Payé à temps
R00000004,CR000001,2023-04-14,2023-04-12,1342.51,1342.51,0,Payé à temps
R00000005,CR000001,2023-05-14,2023-05-09,1342.51,1342.51,0,Payé à temps
R00000006,CR000001,2023-06-14,2023-06-11,1342.51,1342.51,0,Payé à temps
R00000007,CR000001,2023-07-14,2023-07-27,1342.51,1342.51,13,Payé en retard
R00000008,CR000001,2023-08-14,2023-08-13,1342.51,1342.51,0,Payé à temps
R00000009,CR000001,2023-09-14,2023-09-10,1342.51,1342.51,0,Payé à temps
R00000010,CR000001,2023-10-14,2023-10-14,1342.51,1342.51,0,Payé à temps
R00000011,CR000001,2023-11-14,2023-11-11,1342.51,1342.51,0,Payé à temps
R00000012,CR000001,2023-12-14,2024-02-10,1342.51,1342.51,58,Payé en retard
R00000013,CR000001,2024-01-14,2024-01-09,1342.51,1342.51,0,Payé à temps
R00000014,CR000001,2024-02-14,2024-02-13,1342.51,1342.51,0,Payé à temps
R00000015,CR000001,2024-03-14,2024-03-14,1342.51,1342.51,0,Payé à temps
R00000016,CR000001,2024-04-14,2024-04-16,1342.51,1342.51,2,Payé en retard
R00000017,CR000001,2024-05-14,2024-05-12,1342.51,1342.51,0,Payé à temps
R00000018,CR000001,2024-06-14,2024-06-15,1342.51,1342.51,1,Payé en retard
R00000019,CR000001,2024-07-14,2024-07-11,1342.51,1342.51,0,Payé à temps
R00000020,CR000001,2024-08-14,2024-08-09,1342.51,1342.51,0,Payé à temps
R00000021,CR000001,2024-09-14,2024-09-16,1342.51,1342.51,2,Payé en retard
R00000022,CR000001,2024-10-14,2024-10-12,1342.51,1342.51,0,Payé à temps
R00000023,CR000001,2024-11-14,2024-11-10,1342.51,1342.51,0,Payé à temps
R00000024,CR000001,2024-12-14,2024-12-15,1342.51,1342.51,1,Payé en retard
R00000025,CR000001,2025-01-14,2025-01-14,1342.51,1342.51,0,Payé à temps
R00000026,CR000001,2025-02-14,2025-03-21,1342.51,1342.51,35,Payé en retard
R00000027,CR000001,2025-03-14,2025-03-14,1342.51,1342.51,0,Payé à temps
R00000028,CR000001,2025-04-14,2025-05-10,1342.51,1342.51,26,Payé en retard
R00000029,CR000001,2025-05-14,2025-05-09,1342.51,1342.51,0,Payé à temps
R00000030,CR000001,2025-06-14,2025-08-24,1342.51,1342.51,71,Payé en retard
R00000031,CR000001,2025-07-14,2025-07-11,1342.51,1342.51,0,Payé à temps
R00000032,CR000001,2025-08-14,2025-09-11,1342.51,1342.51,28,Payé en retard
R00000033,CR000001,2025-09-14,2025-09-11,1342.51,1342.51,0,Payé à temps
R00000034,CR000001,2025-10-14,2025-10-10,1342.51,1342.51,0,Payé à temps
R00000035,CR000001,2025-11-14,2025-11-09,1342.51,1342.51,0,Payé à temps
R00000036,CR000001,2025-12-14,2025-12-10,1342.51,1342.51,0,Payé à temps
R00000037,CR000001,2026-01-14,2026-01-09,1342.51,1342.51,0,Payé à temps
R00000038,CR000001,2026-02-14,2026-02-21,1342.51,1342.51,7,Payé en retard
R00000039,CR000001,2026-03-14,2026-03-11,1342.51,1342.51,0,Payé à temps
R00000040,CR000001,2026-04-14,2026-04-16,1342.51,1342.51,2,Payé en retard
R00000041,CR000001,2026-05-14,2026-05-11,1342.51,1342.51,0,Payé à temps
R00000042,CR000001,2026-06-14,2026-06-15,1342.51,1342.51,1,Payé en retard
R00000043,CR000002,2024-07-15,2024-07-17,945.79,945.79,2,Payé en retard
R00000044,CR000002,2024-08-15,2024-08-18,945.79,945.79,3,Payé en retard
R00000045,CR000002,2024-09-15,2024-09-11,945.79,945.79,0,Payé à temps
R00000046,CR000002,2024-10-15,2024-10-12,945.79,945.79,0,Payé à temps
R00000047,CR000002,2024-11-15,2024-11-11,945.79,945.79,0,Payé à temps
R00000048,CR000002,2024-12-15,2024-12-13,945.79,945.79,0,Payé à temps
R00000049,CR000002,2025-01-15,2025-01-15,945.79,945.79,0,Payé à temps
R00000050,CR000002,2025-02-15,2025-04-26,945.79,945.79,70,Payé en retard
R00000051,CR000002,2025-03-15,2025-03-18,945.79,945.79,3,Payé en retard
R00000052,CR000002,2025-04-15,2025-04-11,945.79,945.79,0,Payé à temps
R00000053,CR000002,2025-05-15,2025-05-17,945.79,945.79,2,Payé en retard
R00000054,CR000002,2025-06-15,2025-06-11,945.79,945.79,0,Payé à temps
R00000055,CR000002,2025-07-15,2025-07-17,945.79,945.79,2,Payé en retard
R00000056,CR000002,2025-08-15,2025-08-10,945.79,945.79,0,Payé à temps
R00000057,CR000002,2025-09-15,2025-09-17,945.79,945.79,2,Payé en retard
R00000058,CR000002,2025-10-15,2025-10-16,945.79,945.79,1,Payé en retard
R00000059,CR000002,2025-11-15,2025-11-23,945.79,945.79,8,Payé en retard
R00000060,CR000002,2025-12-15,2025-12-18,945.79,945.79,3,Payé en retard
R00000061,CR000002,2026-01-15,2026-01-14,945.79,945.79,0,Payé à temps
R00000062,CR000002,2026-02-15,2026-02-12,945.79,945.79,0,Payé à temps
R00000063,CR000002,2026-03-15,2026-03-12,945.79,945.79,0,Payé à temps
R00000064,CR000002,2026-04-15,2026-04-18,945.79,945.79,3,Payé en retard
R00000065,CR000002,2026-05-15,2026-05-11,945.79,945.79,0,Payé à temps
R00000066,CR000002,2026-06-15,2026-06-17,945.79,945.79,2,Payé en retard
R00000067,CR000003,2024-12-16,2024-12-16,1018.27,1018.27,0,Payé à temps
R00000068,CR000003,2025-01-16,2025-01-19,1018.27,1018.27,3,Payé en retard
R00000069,CR000003,2025-02-16,2025-05-05,1018.27,1018.27,78,Payé en retard
R00000070,CR000003,2025-03-16,2025-03-14,1018.27,1018.27,0,Payé à temps
R00000071,CR000003,2025-04-16,2025-04-13,1018.27,1018.27,0,Payé à temps
R00000072,CR000003,2025-05-16,2025-07-09,1018.27,1018.27,54,Payé en retard
R00000073,CR000003,2025-06-16,2025-09-01,1018.27,1018.27,77,Payé en retard
R00000074,CR000003,2025-07-16,2025-07-13,1018.27,1018.27,0,Payé à temps
R00000075,CR000003,2025-08-16,2025-08-19,1018.27,1018.27,3,Payé en retard
R00000076,CR000003,2025-09-16,2025-09-13,1018.27,1018.27,0,Payé à temps
R00000077,CR000003,2025-10-16,2025-10-14,1018.27,1018.27,0,Payé à temps
R00000078,CR000003,2025-11-16,2025-11-16,1018.27,1018.27,0,Payé à temps
R00000079,CR000003,2025-12-16,2025-12-14,1018.27,1018.27,0,Payé à temps
R00000080,CR000003,2026-01-16,2026-01-19,1018.27,1018.27,3,Payé en retard
R00000081,CR000003,2026-02-16,2026-02-19,1018.27,1018.27,3,Payé en retard
R00000082,CR000003,2026-03-16,2026-03-15,1018.27,1018.27,0,Payé à temps
R00000083,CR000003,2026-04-16,2026-04-19,1018.27,1018.27,3,Payé en retard
R00000084,CR000003,2026-05-16,2026-05-19,1018.27,1018.27,3,Payé en retard
R00000085,CR000003,2026-06-16,2026-06-17,1018.27,1018.27,1,Payé en retard
R00000086,CR000004,2023-11-05,2023-11-01,984.27,984.27,0,Payé à temps
R00000087,CR000004,2023-12-05,2023-12-03,984.27,984.27,0,Payé à temps
R00000088,CR000004,2024-01-05,2024-01-03,984.27,984.27,0,Payé à temps
R00000089,CR000004,2024-02-05,2024-03-28,984.27,984.27,52,Payé en retard
R00000090,CR000004,2024-03-05,2024-03-03,984.27,984.27,0,Payé à temps
R00000091,CR000004,2024-04-05,2024-03-31,984.27,984.27,0,Payé à temps
R00000092,CR000004,2024-05-05,2024-04-30,984.27,984.27,0,Payé à temps
R00000093,CR000004,2024-06-05,2024-06-03,984.27,984.27,0,Payé à temps
R00000094,CR000004,2024-07-05,2024-08-20,984.27,984.27,46,Payé en retard
R00000095,CR000004,2024-08-05,2024-10-04,984.27,984.27,60,Payé en retard
R00000096,CR000004,2024-09-05,2024-09-05,984.27,984.27,0,Payé à temps
R00000097,CR000004,2024-10-05,2024-10-07,984.27,984.27,2,Payé en retard
R00000098,CR000004,2024-11-05,2025-01-27,984.27,984.27,83,Payé en retard
R00000099,CR000004,2024-12-05,2024-12-01,984.27,984.27,0,Payé à temps
R00000100,CR000004,2025-01-05,2025-01-30,984.27,984.27,25,Payé en retard
R00000101,CR000004,2025-02-05,2025-02-06,984.27,984.27,1,Payé en retard
R00000102,CR000004,2025-03-05,2025-03-03,984.27,984.27,0,Payé à temps
R00000103,CR000004,2025-04-05,2025-04-05,984.27,984.27,0,Payé à temps
R00000104,CR000004,2025-05-05,2025-05-04,984.27,984.27,0,Payé à temps
R00000105,CR000004,2025-06-05,2025-06-03,984.27,984.27,0,Payé à temps
R00000106,CR000004,2025-07-05,2025-07-03,984.27,984.27,0,Payé à temps
R00000107,CR000004,2025-08-05,2025-08-03,984.27,984.27,0,Payé à temps
R00000108,CR000004,2025-09-05,2025-09-07,984.27,984.27,2,Payé en retard
R00000109,CR000004,2025-10-05,2025-10-01,984.27,984.27,0,Payé à temps
R00000110,CR000004,2025-11-05,2025-11-08,984.27,984.27,3,Payé en retard
R00000111,CR000004,2025-12-05,2025-12-06,984.27,984.27,1,Payé en retard
R00000112,CR000004,2026-01-05,2026-01-07,984.27,984.27,2,Payé en retard
R00000113,CR000004,2026-02-05,2026-02-07,984.27,984.27,2,Payé en retard
R00000114,CR000004,2026-03-05,2026-03-02,984.27,984.27,0,Payé à temps
R00000115,CR000004,2026-04-05,2026-04-06,984.27,984.27,1,Payé en retard
R00000116,CR000004,2026-05-05,2026-06-04,984.27,984.27,30,Payé en retard
R00000117,CR000004,2026-06-05,2026-06-07,984.27,984.27,2,Payé en retard
R00000118,CR000005,2022-11-03,2022-10-31,579.83,579.83,0,Payé à temps
R00000119,CR000005,2022-12-03,2022-12-02,579.83,579.83,0,Payé à temps
R00000120,CR000005,2023-01-03,2022-12-29,579.83,579.83,0,Payé à temps
R00000121,CR000005,2023-02-03,2023-01-29,579.83,579.83,0,Payé à temps
R00000122,CR000005,2023-03-03,2023-02-26,579.83,579.83,0,Payé à temps
R00000123,CR000005,2023-04-03,2023-03-30,579.83,579.83,0,Payé à temps
R00000124,CR000005,2023-05-03,2023-06-07,579.83,579.83,35,Payé en retard
R00000125,CR000005,2023-06-03,2023-06-05,579.83,579.83,2,Payé en retard
R00000126,CR000005,2023-07-03,2023-07-02,579.83,579.83,0,Payé à temps
R00000127,CR000005,2023-08-03,2023-08-02,579.83,579.83,0,Payé à temps
R00000128,CR000005,2023-09-03,2023-09-01,579.83,579.83,0,Payé à temps
R00000129,CR000005,2023-10-03,2023-09-28,579.83,579.83,0,Payé à temps
R00000130,CR000005,2023-11-03,2023-10-31,579.83,579.83,0,Payé à temps
R00000131,CR000005,2023-12-03,2023-11-28,579.83,579.83,0,Payé à temps
R00000132,CR000005,2024-01-03,2023-12-29,579.83,579.83,0,Payé à temps
R00000133,CR000005,2024-02-03,2024-01-29,579.83,579.83,0,Payé à temps
R00000134,CR000005,2024-03-03,2024-02-28,579.83,579.83,0,Payé à temps
R00000135,CR000005,2024-04-03,2024-04-30,579.83,579.83,27,Payé en retard
R00000136,CR000005,2024-05-03,2024-08-02,579.83,579.83,91,Payé en retard
R00000137,CR000005,2024-06-03,2024-07-24,579.83,579.83,51,Payé en retard
R00000138,CR000005,2024-07-03,2024-07-04,579.83,579.83,1,Payé en retard
R00000139,CR000005,2024-08-03,2024-08-03,579.83,579.83,0,Payé à temps
R00000140,CR000005,2024-09-03,2024-09-05,579.83,579.83,2,Payé en retard
R00000141,CR000005,2024-10-03,2024-09-29,579.83,579.83,0,Payé à temps
R00000142,CR000006,2021-04-02,2021-06-24,1020.18,1020.18,83,Payé en retard
R00000143,CR000006,2021-05-02,2021-04-30,1020.18,1020.18,0,Payé à temps
R00000144,CR000006,2021-06-02,2021-06-05,1020.18,1020.18,3,Payé en retard
R00000145,CR000006,2021-07-02,2021-07-01,1020.18,1020.18,0,Payé à temps
R00000146,CR000006,2021-08-02,2021-08-05,1020.18,1020.18,3,Payé en retard
R00000147,CR000006,2021-09-02,2021-09-04,1020.18,1020.18,2,Payé en retard
R00000148,CR000006,2021-10-02,2021-09-27,1020.18,1020.18,0,Payé à temps
R00000149,CR000006,2021-11-02,2021-11-05,1020.18,1020.18,3,Payé en retard
