ligne_source,transaction_id,client_id,date_transaction,type_transaction,montant,sens,produit_id,agence_id,canal,statut,frais,devise
1,T000000001,C005409,2024-01-12 11:51:04,Paiement carte,-346.31,Débit,P002,A004,Application mobile,Validée,0.0,EUR
2,T000000002,C004611,2024-09-19 10:24:42,Paiement carte,-145.71,Débit,P007,A005,Application mobile,Validée,0.0,EUR
3,T000000003,C004591,2023-10-27 13:06:57,Prélèvement,-44.49,Débit,P003,A005,Web,Validée,0.0,EUR
4,T000000004,C005722,2025-06-06 02:58:22,Virement émis,-58.97,Débit,P001,A003,DAB,Validée,0.0,EUR
5,T000000005,C003313,2025-06-11 02:51:46,Prélèvement,-27.94,Débit,P001,A018,Web,Validée,0.0,EUR
6,T000000006,C003685,2025-12-18 16:07:45,Virement émis,-186.97,Débit,P002,A020,Agence,Validée,0.0,EUR
7,T000000007,C004068,2026-03-31 00:12:29,Paiement carte,-80.03,Débit,P005,A022,Application mobile,Validée,0.0,EUR
8,T000000008,C005759,2025-09-20 20:24:48,Retrait DAB,-363.67,Débit,P003,A023,Application mobile,Validée,0.0,EUR
9,T000000009,C003555,2023-12-02 18:40:09,Dépôt,71.16,Crédit,P003,A022,Web,Validée,0.0,EUR
10,T000000010,C004825,2023-06-20 05:38:48,Paiement carte,-148.93,Débit,P004,A005,TPE,Validée,0.0,EUR
11,T000000011,C005869,2025-09-27 14:41:02,Prélèvement,-237.36,Débit,P002,A004,Web,Validée,0.0,EUR
12,T000000012,C004255,2025-11-28 23:19:09,Virement reçu,405.53,Crédit,P003,A015,Application mobile,Validée,0.0,EUR
13,T000000013,C005316,2023-07-29 21:58:55,Paiement carte,-202.48,Débit,P001,A009,Application mobile,Validée,0.0,EUR
14,T000000014,C001165,2024-09-10 02:14:19,Virement reçu,190.35,Crédit,P001,A002,Application mobile,Validée,0.0,EUR
15,T000000015,C003947,2025-06-04 07:16:19,Remboursement,49.64,Crédit,P001,A006,Web,Validée,0.0,EUR
16,T000000016,C001508,2025-03-10 00:51:31,Prélèvement,-144.22,Débit,P002,A011,Application mobile,Validée,0.0,EUR
17,T000000017,C005448,2023-12-01 19:49:02,Prélèvement,-202.82,Débit,P001,A015,Web,validee,0.0,EUR
18,T000000018,C002322,2025-09-05 13:51:47,Paiement carte,-76.43,Débit,P002,A023,Web,Validée,0.0,EUR
19,T000000019,C000424,2023-02-11 07:44:13,Virement reçu,245.64,Crédit,P004,A012,Web,Validée,0.0,EUR
20,T000000020,C001513,2023-12-02 19:29:04,Remboursement,190.5,Crédit,P001,A013,Application mobile,Validée,0.0,EUR
21,T000000021,C005691,2023-09-16 09:00:42,Virement reçu,188.9,Crédit,P003,A006,DAB,Validée,0.0,EUR
22,T000000022,C005400,2023-02-16 02:45:32,Paiement carte,-15.8,Débit,P002,A003,Application mobile,Validée,0.0,EUR
23,T000000023,C000493,2023-09-12 15:59:36,Dépôt,143.72,Crédit,P003,A014,TPE,Validée,0.0,EUR
24,T000000024,C004468,2025-10-22 00:07:04,Paiement carte,-62.34,Débit,P003,A006,Application mobile,Rejetée,0.0,EUR
25,T000000025,C002984,2023-08-30 17:33:41,Remboursement,482.28,Crédit,P001,A013,Application mobile,Validée,0.0,EUR
26,T000000026,C002407,2024-08-30 04:06:21,Prélèvement,-40.64,Débit,P002,A012,Application mobile,Validée,0.0,EUR
27,T000000027,C001946,2024-05-25 14:24:40,Virement émis,-529.54,Débit,P006,A021,Agence,Validée,0.0,EUR
28,T000000028,C005082,2024-09-07 09:48:51,Paiement carte,-97.34,Débit,P001,A013,Application mobile,Validée,0.0,EUR
29,T000000029,C004980,2023-05-23 09:28:17,Paiement carte,-537.74,Débit,P005,A001,Agence,Validée,0.0,EUR
30,T000000030,C003671,2025-09-30 05:36:49,Virement émis,-418.9,Débit,P005,A012,Application mobile,Validée,0.0,EUR
31,T000000031,C004198,2025-03-21 08:36:13,Retrait DAB,-594.58,Débit,P009,A018,Application mobile,Validée,0.0,EUR
32,T000000032,C000745,2024-08-24 04:45:34,Remboursement,79.7,Crédit,P009,A003,Application mobile,Validée,0.0,EUR
33,T000000033,C003650,2024-08-16 01:10:02,Paiement carte,-108.89,Débit,P008,A025,DAB,Validée,0.0,EUR
34,T000000034,C003800,2025-05-20 13:44:50,Prélèvement,-311.23,Débit,P002,A021,TPE,Validée,0.0,EUR
35,T000000035,C003390,2023-10-19 08:12:51,Virement émis,-157.95,Débit,P003,A020,Application mobile,Validée,0.0,EUR
36,T000000036,C002898,2024-07-04 21:23:56,Paiement carte,-68.93,Débit,P007,A024,DAB,Validée,0.0,EUR
37,T000000037,C002643,2025-06-22 15:36:02,Paiement carte,-17.58,Débit,P002,A013,Application mobile,Validée,0.0,EUR
38,T000000038,C002220,2024-10-18 04:26:22,Prélèvement,-143.71,Débit,P002,A023,Application mobile,Validée,0.0,EUR
39,T000000039,C003896,2025-10-25 07:23:53,Remboursement,448.45,Crédit,P002,A009,DAB,Validée,0.0,EUR
40,T000000040,C001603,2026-02-07 07:58:17,Virement émis,-98.54,Débit,P001,A014,Agence,Validée,0.0,EUR
41,T000000041,C003577,2023-01-28 08:19:51,Remboursement,123.34,Crédit,P003,A013,TPE,Validée,0.0,EUR
42,T000000042,C002513,2025-11-12 06:53:53,Prélèvement,-17.16,Débit,P006,A001,Application mobile,Validée,0.0,EUR
