agence_id,mois,objectif_revenu,objectif_nouveaux_clients,objectif_production_credit,seuil_taux_impaye_pct
A001,2023-01,14.74,3,224107.22,3.06
A001,2023-02,62.49,1,10000.0,2.08
A001,2023-03,10.73,1,29796.99,4.17
A001,2023-04,45.06,3,113166.09,4.32
A001,2023-05,12.36,2,30742.91,2.28
A001,2023-06,10.0,2,27288.18,4.83
A001,2023-07,22.21,4,22259.13,4.2
A001,2023-08,34.9,1,33595.8,3.36
A001,2023-09,54.33,1,33266.5,2.28
A001,2023-10,13.59,3,17428.76,3.71
A001,2023-11,13.32,2,32071.49,3.85
A001,2023-12,25.55,5,33425.77,3.27
A001,2024-01,34.52,1,13888.17,2.27
A001,2024-02,53.9,2,25686.9,3.25
A001,2024-03,66.57,2,32867.44,4.41
A001,2024-04,35.28,3,31093.91,2.89
A001,2024-05,41.85,3,34010.34,2.18
A001,2024-06,51.07,2,26337.41,3.93
A001,2024-07,32.76,1,32489.68,2.48
A001,2024-08,16.86,2,25475.7,4.95
A001,2024-09,122.38,1,25489.74,3.03
A001,2024-10,63.83,2,29157.15,2.29
A001,2024-11,42.32,2,19285.74,4.03
A001,2024-12,14.16,1,26853.97,2.8
A001,2025-01,29.27,1,28568.96,2.26
A001,2025-02,49.84,2,33540.25,2.23
A001,2025-03,57.96,1,29140.39,3.53
A001,2025-04,56.9,4,30211.01,3.85
A001,2025-05,43.01,2,445607.47,3.33
A001,2025-06,12.89,4,146259.26,3.38
A001,2025-07,58.01,2,32294.5,4.25
A001,2025-08,19.18,1,33503.07,4.07
A001,2025-09,52.24,2,17314.97,4.08
A001,2025-10,16.59,2,23285.76,2.51
A001,2025-11,73.47,4,140249.67,2.75
A001,2025-12,50.71,3,28951.08,2.25
A001,2026-01,71.82,3,30648.94,2.88
A001,2026-02,52.28,2,34438.29,2.48
A001,2026-03,54.45,2,23431.67,3.77
A001,2026-04,66.93,1,22900.95,3.77
A001,2026-05,10.05,2,28306.86,4.0
A001,2026-06,50.12,3,22942.08,3.85
A002,2023-01,50.71,2,20902.74,2.81
A002,2023-02,27.34,1,22445.26,3.67
A002,2023-03,19.01,2,18360.2,2.44
A002,2023-04,25.16,2,15998.51,2.03
A002,2023-05,43.43,2,22443.79,2.96
A002,2023-06,49.84,2,17526.99,2.01
A002,2023-07,34.8,1,290843.73,4.21
A002,2023-08,65.49,2,15227.19,2.52
A002,2023-09,24.76,2,258610.99,2.3
A002,2023-10,30.32,1,18897.68,2.51
A002,2023-11,37.62,1,17566.37,3.66
A002,2023-12,31.06,4,10000.0,2.71
A002,2024-01,37.24,4,23648.52,3.42
A002,2024-02,15.63,1,20394.33,4.69
A002,2024-03,12.05,1,23972.46,3.82
A002,2024-04,47.06,1,16588.9,4.18
A002,2024-05,16.64,2,22064.46,4.31
A002,2024-06,10.0,2,23842.91,4.23
A002,2024-07,13.63,1,20731.92,3.37
A002,2024-08,40.06,4,22540.61,2.44
A002,2024-09,36.19,2,19023.22,2.62
A002,2024-10,10.0,4,17498.14,3.1
A002,2024-11,52.56,7,20812.58,2.74
A002,2024-12,24.04,4,10000.0,2.73
A002,2025-01,27.76,2,11185.56,4.39
A002,2025-02,63.23,2,19684.35,4.1
A002,2025-03,29.06,1,23300.96,2.63
A002,2025-04,52.67,2,15853.8,4.33
A002,2025-05,37.46,1,19909.75,2.85
A002,2025-06,95.98,4,17212.54,4.5
A002,2025-07,69.97,1,221174.36,2.34
A002,2025-08,48.57,1,10000.0,2.21
A002,2025-09,37.17,1,10700.18,3.68
A002,2025-10,33.51,4,17204.07,3.47
A002,2025-11,42.9,3,23847.22,2.47
A002,2025-12,51.55,1,20805.11,3.87
A002,2026-01,18.6,2,16057.78,3.02
A002,2026-02,79.55,7,22261.91,3.32
A002,2026-03,29.47,2,23240.36,3.45
A002,2026-04,42.31,4,20543.14,4.74
A002,2026-05,10.0,5,17183.0,4.08
A002,2026-06,10.0,4,21287.24,3.27
A003,2023-01,35.51,2,131246.75,4.4
A003,2023-02,21.45,1,167232.08,4.98
A003,2023-03,10.0,1,137129.1,2.24
A003,2023-04,24.77,2,184087.77,3.43
A003,2023-05,13.62,2,182606.48,3.62
A003,2023-06,31.61,2,274878.98,3.76
A003,2023-07,10.0,3,144100.33,3.64
A003,2023-08,22.69,2,182651.68,3.03
A003,2023-09,10.34,3,152483.71,4.89
A003,2023-10,10.22,1,25832.26,3.32
A003,2023-11,22.23,1,132903.73,3.69
A003,2023-12,31.57,1,10000.0,4.51
A003,2024-01,18.59,3,167755.86,4.14
A003,2024-02,54.35,3,176689.29,3.77
A003,2024-03,14.09,1,155797.23,2.41
A003,2024-04,31.2,1,490138.88,3.91
A003,2024-05,21.0,2,145673.11,3.82
A003,2024-06,27.83,2,131038.81,4.18
A003,2024-07,10.0,1,174282.82,2.74
A003,2024-08,10.0,7,140917.55,2.5
A003,2024-09,14.15,1,248266.67,2.25
A003,2024-10,120.75,2,143516.27,4.8
A003,2024-11,49.73,2,187658.78,3.11
A003,2024-12,35.9,2,137795.06,3.22
A003,2025-01,10.0,2,136027.94,3.68
A003,2025-02,60.64,2,125969.45,4.46
A003,2025-03,29.58,2,145618.75,4.28
A003,2025-04,13.99,1,177728.03,3.89
A003,2025-05,10.0,1,176555.31,2.58
A003,2025-06,76.83,5,171976.52,3.65
A003,2025-07,10.05,2,137767.16,3.99
A003,2025-08,30.03,1,10000.0,3.88
A003,2025-09,55.06,2,174501.95,3.86
A003,2025-10,13.66,1,176145.59,2.79
A003,2025-11,42.51,3,155610.19,2.66
A003,2025-12,31.01,1,147109.41,3.4
A003,2026-01,48.24,2,121831.3,4.41
A003,2026-02,34.19,1,160803.31,4.95
A003,2026-03,10.0,2,308892.81,2.94
A003,2026-04,69.86,1,159705.33,3.05
A003,2026-05,38.04,1,131180.8,3.04
A003,2026-06,43.11,2,178283.42,4.81
A004,2023-01,12.15,1,10000.0,3.88
A004,2023-02,10.0,3,18611.48,2.1
A004,2023-03,54.42,2,26402.35,3.92
A004,2023-04,10.0,2,166669.93,4.76
A004,2023-05,30.13,1,188635.46,3.91
A004,2023-06,53.24,2,13223.67,2.76
A004,2023-07,17.0,3,22842.72,2.81
A004,2023-08,10.0,2,21151.75,3.71
A004,2023-09,10.0,5,20862.85,3.37
A004,2023-10,22.85,1,22071.49,2.48
A004,2023-11,64.38,3,23328.04,2.11
A004,2023-12,27.11,2,26370.79,3.73
A004,2024-01,66.85,1,23342.48,3.85
A004,2024-02,35.15,2,26189.12,3.67
A004,2024-03,10.0,2,24875.54,2.69
A004,2024-04,25.95,1,135607.61,3.3
A004,2024-05,21.56,2,213627.11,3.54
A004,2024-06,47.83,1,20583.42,2.13
A004,2024-07,10.0,2,24304.49,3.88
A004,2024-08,46.81,2,24988.52,2.81
A004,2024-09,10.0,2,25060.71,4.64
A004,2024-10,91.93,3,21226.85,4.3
A004,2024-11,31.3,2,18280.38,4.96
A004,2024-12,31.03,1,12134.35,3.66
A004,2025-01,28.44,1,25615.64,2.02
A004,2025-02,12.15,1,27948.61,3.58
A004,2025-03,48.69,2,26774.22,3.84
A004,2025-04,20.7,2,20268.75,4.75
A004,2025-05,72.48,2,10000.0,4.95
A004,2025-06,10.0,1,24014.42,2.23
A004,2025-07,52.99,2,21142.83,3.41
A004,2025-08,24.53,2,27080.14,2.5
A004,2025-09,25.29,1,10000.0,3.05
A004,2025-10,14.55,1,26986.02,4.5
A004,2025-11,22.17,2,26711.59,3.67
A004,2025-12,40.49,2,21277.0,2.03
A004,2026-01,74.72,2,26278.61,2.93
A004,2026-02,18.28,2,33954.44,4.95
A004,2026-03,15.03,2,24489.63,4.31
A004,2026-04,10.0,2,20275.0,2.13
A004,2026-05,29.03,2,21396.2,4.49
A004,2026-06,10.0,2,23067.59,4.17
A005,2023-01,127.66,3,182420.55,4.89
A005,2023-02,31.89,2,28408.31,2.46
A005,2023-03,25.98,5,37977.03,4.17
A005,2023-04,10.0,2,38482.33,3.14
A005,2023-05,27.75,1,12692.9,2.34
A005,2023-06,19.61,2,25190.22,3.18
A005,2023-07,23.37,2,26816.34,2.98
A005,2023-08,10.0,3,31347.83,4.91
A005,2023-09,28.09,1,42429.79,2.67
A005,2023-10,18.43,2,30208.27,2.38
A005,2023-11,46.0,1,17206.48,4.34
A005,2023-12,51.87,1,37760.44,4.46
A005,2024-01,37.4,4,27008.28,4.21
A005,2024-02,90.32,1,36615.18,2.66
A005,2024-03,49.91,2,29619.83,4.0
A005,2024-04,14.02,1,38218.22,2.5
A005,2024-05,10.0,1,26151.26,3.65
A005,2024-06,29.36,3,37877.82,3.58
A005,2024-07,63.23,4,29709.17,3.87
A005,2024-08,35.5,1,31772.18,3.84
A005,2024-09,18.9,4,37835.81,4.34
A005,2024-10,51.05,1,25161.31,3.43
A005,2024-11,10.0,3,240253.63,2.99
A005,2024-12,79.92,2,27779.72,3.25
A005,2025-01,10.0,3,32728.46,4.46
A005,2025-02,34.59,2,32950.07,4.33
A005,2025-03,100.22,1,187040.66,2.63
A005,2025-04,15.48,3,31536.45,4.13
A005,2025-05,54.44,1,29968.14,4.58
A005,2025-06,10.0,2,13090.52,2.53
A005,2025-07,45.7,2,38211.98,2.29
A005,2025-08,84.73,2,10509.59,4.47
A005,2025-09,19.34,2,34111.99,4.82
A005,2025-10,91.47,1,328104.52,3.04
A005,2025-11,113.78,2,28989.16,3.18
A005,2025-12,65.64,1,30466.17,4.59
A005,2026-01,39.46,6,26603.51,3.09
A005,2026-02,10.0,1,25287.28,4.86
A005,2026-03,62.55,1,25419.32,4.4
A005,2026-04,42.88,1,38594.75,4.67
A005,2026-05,67.82,1,26053.04,2.99
A005,2026-06,48.14,2,26874.47,4.48
A006,2023-01,22.65,3,10000.0,3.35
A006,2023-02,32.69,2,103087.69,2.51
A006,2023-03,72.51,2,10000.0,2.03
A006,2023-04,33.31,2,139022.58,4.92
A006,2023-05,44.65,2,119348.39,4.68
A006,2023-06,17.73,1,29278.15,4.27
A006,2023-07,30.32,1,49464.35,3.7
A006,2023-08,13.94,1,99211.43,3.53
A006,2023-09,42.2,2,134207.04,3.01
A006,2023-10,63.22,1,131926.96,4.25
A006,2023-11,13.07,1,35639.59,3.58
A006,2023-12,10.0,1,366097.58,3.51
A006,2024-01,52.6,4,92390.08,3.26
A006,2024-02,65.83,2,92102.85,4.3
A006,2024-03,24.27,5,132498.23,3.89
A006,2024-04,37.63,2,116472.05,4.17
A006,2024-05,35.86,6,96305.06,2.8
A006,2024-06,28.43,6,297313.35,2.07
A006,2024-07,25.51,4,142004.19,4.02
A006,2024-08,45.68,1,106881.3,4.25
A006,2024-09,46.1,2,294267.63,3.78
A006,2024-10,24.26,1,140437.54,2.76
A006,2024-11,43.29,2,291638.82,3.2
A006,2024-12,23.7,5,26015.92,3.44
A006,2025-01,28.0,1,250907.58,2.26
A006,2025-02,26.33,2,109203.6,4.55
A006,2025-03,29.08,4,129224.98,3.29
A006,2025-04,41.65,1,94483.18,2.55
A006,2025-05,18.61,2,136210.09,3.14
A006,2025-06,26.57,1,126121.85,2.61
A006,2025-07,26.19,2,113909.71,2.58
A006,2025-08,35.51,2,123170.87,3.8
A006,2025-09,44.59,3,109396.27,3.92
A006,2025-10,32.19,1,213891.13,2.64
A006,2025-11,15.33,2,16448.59,2.21
A006,2025-12,24.99,7,98780.75,2.73
A006,2026-01,39.05,3,25986.63,3.27
A006,2026-02,30.28,2,114740.19,2.22
A006,2026-03,53.66,2,123634.33,2.01
A006,2026-04,22.1,1,101742.05,2.98
A006,2026-05,12.4,2,97338.79,4.47
A006,2026-06,22.82,2,136132.3,3.1
A007,2023-01,19.44,1,134453.01,3.77
A007,2023-02,17.18,3,108007.68,3.61
A007,2023-03,54.95,1,137518.28,4.55
A007,2023-04,36.15,1,33055.06,4.01
A007,2023-05,10.51,2,136545.9,2.34
A007,2023-06,32.48,1,151663.62,3.48
A007,2023-07,52.88,3,117525.7,2.55
A007,2023-08,51.32,2,147004.69,4.21
A007,2023-09,12.81,1,248084.82,3.56
A007,2023-10,43.92,2,148006.29,3.06
A007,2023-11,19.96,4,114248.58,4.23
A007,2023-12,25.21,2,150208.83,4.5
A007,2024-01,21.37,5,47260.85,4.91
A007,2024-02,16.04,2,120154.25,4.78
A007,2024-03,26.76,2,123057.66,2.35
A007,2024-04,50.12,2,129429.15,2.87
A007,2024-05,15.11,2,115676.49,2.12
A007,2024-06,10.0,2,106470.9,2.92
A007,2024-07,10.0,3,161274.66,2.52
A007,2024-08,27.6,1,149972.85,3.7
A007,2024-09,10.0,3,270198.74,4.38
A007,2024-10,40.03,2,152186.9,4.47
A007,2024-11,108.75,1,146702.76,4.99
A007,2024-12,15.77,3,193112.86,4.53
A007,2025-01,47.7,2,19690.78,3.47
A007,2025-02,25.03,2,10000.0,4.34
A007,2025-03,23.67,2,129543.22,3.04
A007,2025-04,27.21,2,111299.13,4.95
A007,2025-05,10.0,1,159323.67,2.3
A007,2025-06,13.14,1,122404.84,4.63
A007,2025-07,14.86,4,267349.55,2.46
A007,2025-08,75.4,2,117806.73,4.73
A007,2025-09,22.75,2,320664.5,3.68
A007,2025-10,26.79,2,124840.02,3.68
A007,2025-11,13.64,2,465735.28,2.17
A007,2025-12,32.96,2,161731.66,3.61
A007,2026-01,18.41,2,133024.55,2.26
A007,2026-02,21.7,3,154806.84,3.73
A007,2026-03,16.8,3,140375.87,2.42
